title,type,url_slug,venue,date,location,talk_url,description
"Library & laboratory: institutionalizing
a dynamic digital projects infrastructure
across workgroups.",Talk,talk-1,Digital Library Federation Forum 2017,2017-10-24,"Pittsburgh, PA",https://rkclement.github.io/2017_dlf_middlabPresentation/presentation.html,"As part of a broad, ongoing effort to coordinate digital scholarship efforts across multiple campuses and disparate administrative units, Middlebury College has launched MiddLab - a ""library DevOps"" team charged with institutionalizing the iterative development and rapid integration of new digital scholarship tools and services. (With Patrick Wallace, Digital Projects and Archives Librarian @ Middlebury College)"
Looking at the library data in the mirror: taking our own advice about data management,Talk,talk-2,IASSIST 2017,2017-05-26,"Lawrence, KS",,"Data librarians consult with and advise users every day on best practices and tools for managing, wrangling, and working with data. As we look to our own extensive stores of data on our collections, users, finances, and more, though, it seems we have rarely listened to ourselves when it comes to these topics. In this short talk I covered: 1. historical challenges with the management of library data; 2. Middlebury College's Library Data Project and the tools we are using to address these challenges; 3. a call to ""take our own advice"" when it comes to managing and working with our internal data."
You can too! Running a successful data bootcamp for novices,Tutorial,tutorial-1,IASSIST 2017,2017-05-23,"Lawrence, KS",,"Successful outreach on topics such as working with and managing research data can be challenging when faced with novice users. Participants in this workshop will learn about v 1.0 (2015) and 2.0 (2016) of a multi-day Data Bootcamp for novice users in the humanities and humanistic social sciences that was held at Middlebury College. This workshop covered topics such as managing, cleaning, and documenting data, as well as data visualization, mapping, and working with textual data. In addition to discussion about what worked for Middlebury, participants will work together to determine audience needs, learning objectives, and tools. Potential workshop plans will focus on active learning methods and free and/or open-source tools and data to increase accessibility. Participants will also be able to access and share workshop materials from an Open Science Framework project."
It takes a village: Collaboratively building a cross-disciplinary digital repository,Talk,talk-3,Digital Library Federation Forum 2016,2017-11-07,"Milwaukee, WS",https://osf.io/sb6pk/,"Middlebury College is engaged in a collaborative effort between librarians, ITS, and faculty to define, plan, and implement a digital preservation and access system that answers the varied needs across multiple disciplines. We discuss the challenges, strategies, and insights encountered throughout this process, including our participation in DLF’s eResearch Network. (With Wendy Shook, Science Data Librarian @ Middlebury College, and Patrick Wallace, Digital Projects and Archives Librarian @ Middlebury College)"
Collaborating across units and institutions to support digital scholarship,Talk,talk-4,Digital Library Federation Forum Liberal Arts Pre-conference 2016,2017-11-06,"Milwaukee, WS",,"Unlike much traditional scholarship in the humanities and social sciences, digital scholarship and digital humanities projects often require support teams with a wide range of expertise from across the institution. Libraries play key roles at many stages of a digital project’s lifecycle, from consultation, to training, to project management. Although some features of successful models for collaboration will be unique to the institution, many strategies will be widely applicable in the liberal arts context. In this discussion, leaders will briefly describe three recent examples of successful collaborations at Middlebury College: the first is a pilot program for hosting and supporting Omeka & Neatline instances from conception to preservation; the second is a four-day Liberal Arts Data Bootcamp that introduced faculty and academic staff to data management basics and demonstrated ways that data is or might be applied in the liberal arts context (e.g. data visualization, mapping, and text mining); the third is the in-process development of a digital repository, hosting faculty/student/staff scholarship, including articles, datasets, and materials from Special Collections and Archives. (With Patrick Wallace, Digital Projects and Archives Librarian @ Middlebury College)"
Beyond finding and managing: Extending research data services at liberal arts institutions,Tutorial,tutorial-2,Oberlin Digital Scholarship Conference,2016-06-11,"St. Paul, MN",,"As more and more researchers seek utilize new methodologies, such as computer-assisted qualitative data analysis, data visualization, and text mining, academic libraries have begun to expand their support for these data services as well. In this working group, librarians who support data services, digital humanities, and digital pedagogy will come together to discuss these growth areas in data services, how they are being supported at their institutions, opportunities for collaborative support across the Oberlin Group, and how liberal arts institutions can bring a unique perspective to these methods."
Measuring up: How are we defining success for research data services?,Talk,talk-5,Research Data Access & Preservation Summit ,2016-05-05,"Atlanta, GA",,"(With Heather Coates, Jake Carlson, Margaret Henderson, Lisa Johnston, and Yasmeen Shorish)"
NW5C research data management & curation workshop: A collaborative model for liberal arts colleges,Talk,talk-6,Digital Library Federation Forum Liberal Arts Pre-conference 2015,2015-10-25,"Vancouver, BC",,"In this presentation, we discuss a team-based workshop on data management and curation organized by librarians from the five liberal arts colleges in the Northwest Five Consortium: Willamette University, Whitman College, University of Puget Sound, Reed College, and Lewis & Clark College. The consortium supports collaborative sharing of experience and expertise in support of the core value of integrating teaching and scholarship. Liberal arts data management support faces many of the same challenges, such as issues of scalability and outreach, that other innovative projects face in such environments. We envisioned this workshop as a place to take advantage of the close-knit community structures of liberal arts colleges and bring many of the stakeholders in research data management together to collaborate at a broader consortial level. The model for the workshop was a team from each institution connected to a specific research project: a faculty researcher, one or two student researchers, a librarian, and, optionally, a representative from IT or other technical support. Pre-workshop preparation in the form of a Data Curation Profile interview was used to elucidate the data issues of their team and to help shape the workshop structure. The workshop presented the big-picture challenges and best practices of research data management, and then allowed teams to work on applying these ideas to their own projects. Central to our conception of this workshop was the involvement of undergraduate student researchers in the discussion and implementation of research data management within their groups’ research projects. By involving undergraduate students as well as researchers, IT/tech support, and librarians in a collaborative, cross-campus discussion of research data management best practices and their applications for current research projects, we hope to improve the research data management infrastructure and implementation on our campuses and to consider new avenues for collaboration. (With Amy Blau, Scholarly Communication Librarian @ Whitman College, and Parvaneh Abbaspour, Science and Data Services Librarian @ Lewis & Clark College)"
"Think like a scholar: Using the ACRL Framework to shape collaborative, discipline-based information literacy instruction",Talk,talk-7,Oregon Library Association Annual Conference,2015-04-17,"Eugene, OR",,"Collaborating with faculty on teaching information literacy (IL) is arguably one of the most difficult aspects of academic librarian work. In this session, we will present how we have used the concepts in ACRL’s draft Framework for Information Literacy for Higher Education to guide conversations with faculty about teaching research competencies at Reed College. The Framework and its presentation of threshold concepts is particularly useful for developing discipline-specific teaching strategies and approaches when working with core and gateway courses. The session will include the content we developed in collaboration with faculty for courses in music, anthropology, history, and psychology. (With Annie Downey, Associate College Librarian & Director of Research Services @ Reed College, and Erin Conor, Performing Arts Librarian @ Reed College)"
Where's the data? Building data services for liberal arts colleges.,Talk,talk-8,ACRL Conference,2015-3-27,"Portland, OR",,"Libraries at liberal arts institutions face unique challenges in building data services for their particular communities. In this panel, data services librarians from several liberal arts institutions will define what data services means in the liberal arts environment, discuss challenges they have faced in building their data services programs, and offer suggestions for tools and techniques that other small institutions can use in evaluating their needs for in building a sustainable data services program. (With Kristin Partlo, Reference & Instruction Librarian for Social Sciences & Data @ Carleton College, and Gina Bastone, Academic Outreach Librarian for the Social Sciences @ Brandeis University)"
